station,cluster,latitude,longitude,elevation,climate
GHCND:US1WAAD0007,2,47.12573,-118.372797,567.5,very cold rainy midlands
GHCND:US1WAAD0011,2,47.165523,-118.51653,569.1,very cold rainy midlands
GHCND:US1WAAS0004,2,46.10267,-117.12779,1146.4,very cold rainy midlands
GHCND:US1WABT0007,2,46.233484,-119.259879,141.4,very cold rainy midlands
GHCND:US1WABT0010,2,46.20094,-119.76163,235.0,very cold rainy midlands
GHCND:US1WABT0013,2,46.287,-119.305,121.9,very cold rainy midlands
GHCND:US1WABT0015,2,46.250598,-119.324279,175.9,very cold rainy midlands
GHCND:US1WABT0017,2,46.287321,-119.562153,233.2,very cold rainy midlands
GHCND:US1WABT0029,2,46.2031,-119.1283,123.4,very cold rainy midlands
GHCND:US1WABT0031,2,46.254393,-119.293655,135.9,very cold rainy midlands
GHCND:US1WACB0002,2,46.283381,-117.954913,544.4,very cold rainy midlands
GHCND:US1WACH0004,2,47.370919,-120.207422,227.4,very cold rainy midlands
GHCND:US1WACH0011,2,47.434385,-120.326926,214.9,very cold rainy midlands
GHCND:US1WACH0013,2,47.419192,-120.344546,274.3,very cold rainy midlands
GHCND:US1WACH0022,2,47.798019,-120.401433,481.3,very cold rainy midlands
GHCND:US1WACH0051,2,47.41425,-120.35313,320.0,very cold rainy midlands
GHCND:US1WACK0003,1,45.653,-122.5311,77.7,cold rainy costal
GHCND:US1WACK0010,1,45.744977,-122.440023,200.6,cold rainy costal
GHCND:US1WACK0017,1,45.754026,-122.46009,168.9,cold rainy costal
GHCND:US1WACK0021,1,45.656149,-122.639912,77.1,cold rainy costal
GHCND:US1WACK0022,1,45.680746,-122.684087,64.0,cold rainy costal
GHCND:US1WACK0027,1,45.62971,-122.369771,125.3,cold rainy costal
GHCND:US1WACK0029,1,45.584519,-122.373998,17.7,cold rainy costal
GHCND:US1WACK0039,1,45.7940406799316,-122.544342041016,96.6,cold rainy costal
GHCND:US1WACK0053,1,45.67985,-122.5002,73.8,cold rainy costal
GHCND:US1WACK0055,1,45.732256,-122.653153,64.0,cold rainy costal
GHCND:US1WACK0056,1,45.8629,-122.4025,212.4,cold rainy costal
GHCND:US1WACK0061,1,45.7295688351506,-122.669661518807,58.8,cold rainy costal
GHCND:US1WACK0062,1,45.7548,-122.42493,183.2,cold rainy costal
GHCND:US1WACK0064,1,45.697473,-122.701873,64.0,cold rainy costal
GHCND:US1WACK0066,1,45.79577,-122.52746,110.3,cold rainy costal
GHCND:US1WACK0072,1,45.8679,-122.6766,58.8,cold rainy costal
GHCND:US1WACK0073,1,45.615981,-122.469829,79.9,cold rainy costal
GHCND:US1WACK0074,1,45.614653,-122.3938,112.5,cold rainy costal
GHCND:US1WACM0019,1,48.105026,-123.431224,65.5,cold rainy costal
GHCND:US1WACM0026,1,48.098,-123.42,117.0,cold rainy costal
GHCND:US1WACM0029,1,48.116263,-123.139408,37.2,cold rainy costal
GHCND:US1WACM0032,1,48.0803489685059,-123.316192626953,179.2,cold rainy costal
GHCND:US1WACM0038,1,48.09812,-123.347516,96.0,cold rainy costal
GHCND:US1WACM0048,1,48.0984039306641,-123.207962036133,50.3,cold rainy costal
GHCND:US1WACM0064,1,48.050996,-123.055403,118.3,cold rainy costal
GHCND:US1WACM0072,1,48.1276,-123.13524,25.0,cold rainy costal
GHCND:US1WACM0073,1,48.042057,-123.075104,205.7,cold rainy costal
GHCND:US1WACM0076,1,48.13331,-123.176413,37.2,cold rainy costal
GHCND:US1WACW0002,1,45.996667,-122.39875,139.6,cold rainy costal
GHCND:US1WACW0008,1,46.16243,-122.88048,132.6,cold rainy costal
GHCND:US1WACW0009,1,46.093029,-122.825516,164.3,cold rainy costal
GHCND:US1WADG0003,2,47.43515,-120.289118,259.4,very cold rainy midlands
GHCND:US1WADG0020,2,47.3963,-120.28,239.3,very cold rainy midlands
GHCND:US1WADG0023,2,47.404267,-120.266852,281.9,very cold rainy midlands
GHCND:US1WAGF0002,2,46.47134,-117.605059,566.9,very cold rainy midlands
GHCND:US1WAGH0022,1,46.994069,-123.500718,11.0,cold rainy costal
GHCND:US1WAGH0038,1,46.964317,-123.683683,32.9,cold rainy costal
GHCND:US1WAGH0041,1,46.9788,-123.8888,3.4,cold rainy costal
GHCND:US1WAGH0056,1,46.9486,-123.7743,39.3,cold rainy costal
GHCND:US1WAIS0002,1,48.096259,-122.572031,51.8,cold rainy costal
GHCND:US1WAIS0005,1,48.014477,-122.584084,22.6,cold rainy costal
GHCND:US1WAIS0007,1,48.217091,-122.690861,27.4,cold rainy costal
GHCND:US1WAIS0019,1,48.075349,-122.476261,75.3,cold rainy costal
GHCND:US1WAIS0021,1,48.3071,-122.63252,58.8,cold rainy costal
GHCND:US1WAIS0022,1,48.0987562,-122.5910562,55.2,cold rainy costal
GHCND:US1WAIS0023,1,48.310734,-122.586794,65.2,cold rainy costal
GHCND:US1WAIS0028,1,48.22994,-122.491136,148.4,cold rainy costal
GHCND:US1WAIS0034,1,48.220181,-122.674336,15.2,cold rainy costal
GHCND:US1WAIS0035,1,48.235932,-122.729062,23.8,cold rainy costal
GHCND:US1WAIS0038,1,48.02684,-122.48743,137.8,cold rainy costal
GHCND:US1WAIS0040,1,48.005686,-122.514642,78.0,cold rainy costal
GHCND:US1WAIS0044,1,48.02582,-122.40772,77.1,cold rainy costal
GHCND:US1WAIS0045,1,48.292615,-122.520825,13.4,cold rainy costal
GHCND:US1WAIS0046,1,48.34757,-122.582376,88.4,cold rainy costal
GHCND:US1WAIS0051,1,48.21727,-122.671007,36.0,cold rainy costal
GHCND:US1WAIS0052,1,48.102224,-122.4019,59.1,cold rainy costal
GHCND:US1WAJF0011,1,48.1239387,-122.8267881,71.0,cold rainy costal
GHCND:US1WAJF0018,1,48.08618,-122.879,64.3,cold rainy costal
GHCND:US1WAJF0021,1,48.117151,-122.76853,53.3,cold rainy costal
GHCND:US1WAJF0022,1,48.117632,-122.788064,54.6,cold rainy costal
GHCND:US1WAJF0028,1,47.89829,-122.823654,53.9,cold rainy costal
GHCND:US1WAJF0029,1,48.1354956328869,-122.800800427794,28.3,cold rainy costal
GHCND:US1WAJF0036,1,47.975484,-122.748409,50.6,cold rainy costal
GHCND:US1WAJF0040,1,48.057758,-122.919041,9.8,cold rainy costal
GHCND:US1WAJF0041,1,48.121044,-122.767611,49.1,cold rainy costal
GHCND:US1WAJF0044,1,48.0770263671875,-122.829086303711,68.6,cold rainy costal
GHCND:US1WAJF0045,1,48.060658,-122.782902,73.2,cold rainy costal
GHCND:US1WAJF0047,1,48.10427017,-122.8723305,82.6,cold rainy costal
GHCND:US1WAJF0053,1,47.915592,-122.702831,11.9,cold rainy costal
GHCND:US1WAJF0054,1,47.9021,-122.674151,139.9,cold rainy costal
GHCND:US1WAJF0056,1,48.048,-122.702,10.1,cold rainy costal
GHCND:US1WAJF0058,1,47.969844,-122.777667,55.2,cold rainy costal
GHCND:US1WAJF0059,1,48.0348,-122.78919,39.6,cold rainy costal
GHCND:US1WAJF0062,1,48.116787,-122.804046,75.0,cold rainy costal
GHCND:US1WAKG0003,1,47.763558,-122.293917,43.9,cold rainy costal
GHCND:US1WAKG0005,1,47.5859,-122.2509,26.5,cold rainy costal
GHCND:US1WAKG0009,1,47.408881,-122.180106,147.2,cold rainy costal
GHCND:US1WAKG0033,1,47.692402,-122.298027,102.1,cold rainy costal
GHCND:US1WAKG0035,1,47.729542,-122.08357,66.4,cold rainy costal
GHCND:US1WAKG0041,1,47.433191,-122.17037,124.1,cold rainy costal
GHCND:US1WAKG0051,1,47.771401,-122.258461,78.0,cold rainy costal
GHCND:US1WAKG0061,1,47.727397,-122.102078,142.0,cold rainy costal
GHCND:US1WAKG0070,1,47.264286,-122.066578,170.1,cold rainy costal
GHCND:US1WAKG0072,1,47.577384,-122.412039,6.7,cold rainy costal
GHCND:US1WAKG0076,1,47.3308,-122.2673,149.0,cold rainy costal
GHCND:US1WAKG0081,1,47.475184,-122.201889,64.6,cold rainy costal
GHCND:US1WAKG0088,1,47.346,-122.322,41.5,cold rainy costal
GHCND:US1WAKG0143,1,47.4669,-121.6806,246.3,cold rainy costal
GHCND:US1WAKG0145,1,47.681873,-122.365539,74.1,cold rainy costal
GHCND:US1WAKG0181,1,47.765674,-122.300135,66.1,cold rainy costal
GHCND:US1WAKG0196,1,47.353863,-122.318054,94.8,cold rainy costal
GHCND:US1WAKG0204,1,47.609077,-122.343988,6.1,cold rainy costal
GHCND:US1WAKG0210,1,47.491944,-122.365,39.6,cold rainy costal
GHCND:US1WAKG0219,1,47.69756,-121.91603,99.7,cold rainy costal
GHCND:US1WAKG0225,1,47.6117,-122.3085,121.3,cold rainy costal
GHCND:US1WAKG0226,1,47.697944,-122.108127,108.2,cold rainy costal
GHCND:US1WAKG0229,1,47.696532,-122.312907,135.6,cold rainy costal
GHCND:US1WAKG0237,1,47.30963,-122.36051,108.2,cold rainy costal
GHCND:US1WAKG0238,1,47.67478,-122.27757,89.0,cold rainy costal
GHCND:US1WAKG0239,1,47.67683,-122.36321,54.6,cold rainy costal
GHCND:US1WAKG0240,1,47.59942,-121.97569,131.1,cold rainy costal
GHCND:US1WAKG0248,1,47.28895,-122.298461,118.9,cold rainy costal
GHCND:US1WAKG0252,1,47.62063,-122.22545,29.3,cold rainy costal
GHCND:US1WAKG0253,1,47.5132,-122.1631,135.9,cold rainy costal
GHCND:US1WAKG0263,1,47.75172,-122.2795,7.9,cold rainy costal
GHCND:US1WAKG0272,1,47.549338,-122.267714,78.6,cold rainy costal
GHCND:US1WAKG0284,1,47.5255367,-122.04257,81.7,cold rainy costal
GHCND:US1WAKG0294,1,47.671842,-122.394856,32.0,cold rainy costal
GHCND:US1WAKG0298,1,47.379516,-122.02289,158.2,cold rainy costal
GHCND:US1WAKG0299,1,47.6856,-122.30637,87.2,cold rainy costal
GHCND:US1WAKG0308,1,47.335138,-122.101962,142.3,cold rainy costal
GHCND:US1WAKG0315,1,47.58115,-122.21595,33.8,cold rainy costal
GHCND:US1WAKL0007,2,45.987334,-121.537113,595.0,very cold rainy midlands
GHCND:US1WAKL0018,2,45.77346,-121.33019,714.1,very cold rainy midlands
GHCND:US1WAKP0001,1,47.761639,-122.471868,14.6,cold rainy costal
GHCND:US1WAKP0006,1,47.69194,-122.549777,7.0,cold rainy costal
GHCND:US1WAKP0008,1,47.744598,-122.509685,63.1,cold rainy costal
GHCND:US1WAKP0023,1,47.6012955,-122.6042633,100.9,cold rainy costal
GHCND:US1WAKP0025,1,47.766944,-122.519167,91.1,cold rainy costal
GHCND:US1WAKP0026,1,47.8083,-122.5288,28.3,cold rainy costal
GHCND:US1WAKP0031,1,47.453481,-122.573739,47.9,cold rainy costal
GHCND:US1WAKP0032,1,47.64165,-122.57142,23.2,cold rainy costal
GHCND:US1WAKP0044,1,47.900612,-122.528388,42.7,cold rainy costal
GHCND:US1WAKP0045,1,47.53535,-122.5448,14.0,cold rainy costal
GHCND:US1WAKP0046,1,47.749256,-122.529397,30.2,cold rainy costal
GHCND:US1WAKP0047,1,47.785564,-122.672994,100.0,cold rainy costal
GHCND:US1WAKP0051,1,47.58833,-122.84359,139.3,cold rainy costal
GHCND:US1WAKP0056,1,47.683351,-122.533128,68.6,cold rainy costal
GHCND:US1WAKP0061,1,47.7387,-122.5557,50.0,cold rainy costal
GHCND:US1WAKP0062,1,47.628587,-122.824603,104.2,cold rainy costal
GHCND:US1WAKP0064,1,47.564417,-122.644406,42.1,cold rainy costal
GHCND:US1WAKP0067,1,47.610821,-122.599468,41.8,cold rainy costal
GHCND:US1WAKP0068,1,47.493611,-122.517,65.8,cold rainy costal
GHCND:US1WAKP0072,1,47.602984,-122.567639,81.7,cold rainy costal
GHCND:US1WAKP0073,1,47.62597,-122.598415,69.2,cold rainy costal
GHCND:US1WAKP0074,1,47.642164,-122.632938,49.7,cold rainy costal
GHCND:US1WAKP0075,1,47.593232,-122.622968,100.0,cold rainy costal
GHCND:US1WAKP0077,1,47.81639,-122.513773,85.0,cold rainy costal
GHCND:US1WAKP0078,1,47.60137,-122.823709,127.1,cold rainy costal
GHCND:US1WAKP0080,1,47.5198227,-122.523453,35.4,cold rainy costal
GHCND:US1WAKP0082,1,47.4684213047916,-122.562527703011,101.8,cold rainy costal
GHCND:US1WALN0010,2,47.7130285,-118.9411614,583.4,very cold rainy midlands
GHCND:US1WAMS0018,1,47.219544,-123.094009,55.8,cold rainy costal
GHCND:US1WAOK0034,2,48.371924,-120.3223367,699.2,very cold rainy midlands
GHCND:US1WAOK0037,2,48.337926,-120.087923,465.1,very cold rainy midlands
GHCND:US1WAPO0001,2,48.075718,-117.192613,790.7,very cold rainy midlands
GHCND:US1WAPR0003,1,47.14734,-122.416869,118.0,cold rainy costal
GHCND:US1WAPR0031,1,47.286704,-122.50247,82.6,cold rainy costal
GHCND:US1WAPR0045,1,47.261775,-122.477183,103.0,cold rainy costal
GHCND:US1WAPR0054,1,47.3245,-122.6224,83.5,cold rainy costal
GHCND:US1WAPR0057,1,47.38106,-122.71559,75.6,cold rainy costal
GHCND:US1WAPR0062,1,47.3544,-122.78128,64.3,cold rainy costal
GHCND:US1WAPR0071,1,47.266299,-122.585612,50.9,cold rainy costal
GHCND:US1WAPR0075,1,47.357317,-122.64812,14.9,cold rainy costal
GHCND:US1WAPR0087,1,47.2427317,-122.736785,40.2,cold rainy costal
GHCND:US1WAPR0092,1,47.3316176,-122.6668652,26.8,cold rainy costal
GHCND:US1WAPR0093,1,47.127489,-122.180053,219.8,cold rainy costal
GHCND:US1WAPR0095,1,47.240686,-122.551112,31.7,cold rainy costal
GHCND:US1WAPR0097,1,47.330381,-122.748655,64.0,cold rainy costal
GHCND:US1WAPR0098,1,47.196162,-122.530075,70.1,cold rainy costal
GHCND:US1WAPR0102,1,47.2409,-122.4611,110.0,cold rainy costal
GHCND:US1WAPR0104,1,47.18998,-122.31046,12.8,cold rainy costal
GHCND:US1WAPR0105,1,47.2074185,-122.544202,126.5,cold rainy costal
GHCND:US1WASG0001,1,48.420007,-122.614199,12.2,cold rainy costal
GHCND:US1WASG0008,1,48.489025,-122.611648,65.5,cold rainy costal
GHCND:US1WASG0023,1,48.4277,-122.3886,5.5,cold rainy costal
GHCND:US1WASG0024,1,48.41298,-122.324868,54.6,cold rainy costal
GHCND:US1WASG0030,1,48.5355,-122.6265,34.1,cold rainy costal
GHCND:US1WASG0031,1,48.55384,-121.42622,107.0,cold rainy costal
GHCND:US1WASG0032,1,48.4268,-122.6576,101.5,cold rainy costal
GHCND:US1WASG0037,1,48.5017,-122.6635,61.9,cold rainy costal
GHCND:US1WASG0039,1,48.5816078186035,-122.235786437988,61.3,cold rainy costal
GHCND:US1WASG0045,1,48.497804,-122.618442,42.4,cold rainy costal
GHCND:US1WASG0046,1,48.517054,-122.624551,13.7,cold rainy costal
GHCND:US1WASG0048,1,48.586,-122.329,65.5,cold rainy costal
GHCND:US1WASG0052,1,48.422808,-122.281721,107.9,cold rainy costal
GHCND:US1WASG0053,1,48.51782,-121.756339,63.7,cold rainy costal
GHCND:US1WASG0058,1,48.4276,-122.6064,32.3,cold rainy costal
GHCND:US1WASG0060,1,48.57255,-122.51404,39.6,cold rainy costal
GHCND:US1WASG0063,1,48.50656,-122.613764,11.0,cold rainy costal
GHCND:US1WASG0064,1,48.3869244212835,-122.507215934432,8.2,cold rainy costal
GHCND:US1WASG0065,1,48.4940945,-122.2286451,18.6,cold rainy costal
GHCND:US1WASG0067,1,48.5775,-122.54238,15.8,cold rainy costal
GHCND:US1WASJ0001,1,48.4566,-122.9645,17.1,cold rainy costal
GHCND:US1WASJ0003,1,48.6079,-122.9466,51.5,cold rainy costal
GHCND:US1WASJ0008,1,48.565175,-123.159979,40.5,cold rainy costal
GHCND:US1WASJ0016,1,48.481924,-123.061275,18.9,cold rainy costal
GHCND:US1WASJ0033,1,48.7032,-123.0296,27.4,cold rainy costal
GHCND:US1WASJ0036,1,48.433444,-122.863466,12.8,cold rainy costal
GHCND:US1WASJ0040,1,48.55683,-123.07922,100.0,cold rainy costal
GHCND:US1WASJ0043,1,48.58399167,-122.8166167,3.4,cold rainy costal
GHCND:US1WASJ0044,1,48.484475,-122.902272,56.1,cold rainy costal
GHCND:US1WASJ0048,1,48.5061066,-123.061762,9.8,cold rainy costal
GHCND:US1WASJ0050,1,48.459527,-122.881646,39.0,cold rainy costal
GHCND:US1WASJ0051,1,48.5065,-123.04149,58.2,cold rainy costal
GHCND:US1WASJ0053,1,48.476039,-122.857347,53.3,cold rainy costal
GHCND:US1WASN0004,1,47.9916,-122.2067,33.5,cold rainy costal
GHCND:US1WASN0011,1,48.252375,-122.35171,29.9,cold rainy costal
GHCND:US1WASN0012,1,47.83021,-122.21544,89.3,cold rainy costal
GHCND:US1WASN0021,1,47.787711,-122.284491,131.1,cold rainy costal
GHCND:US1WASN0043,1,48.1093,-122.1724,24.7,cold rainy costal
GHCND:US1WASN0058,1,47.875573,-122.176131,137.2,cold rainy costal
GHCND:US1WASN0064,1,47.848469,-121.761917,48.5,cold rainy costal
GHCND:US1WASN0089,1,48.196775,-122.170697,49.1,cold rainy costal
GHCND:US1WASN0090,1,47.911389,-122.311111,112.8,cold rainy costal
GHCND:US1WASN0097,1,48.12117,-122.342873,133.8,cold rainy costal
GHCND:US1WASN0109,1,47.8707,-122.1608,147.8,cold rainy costal
GHCND:US1WASN0111,1,47.8027525,-122.0430476,146.9,cold rainy costal
GHCND:US1WASN0114,1,47.7890127,-122.2960405,135.6,cold rainy costal
GHCND:US1WASN0117,1,48.2767,-121.81723,96.6,cold rainy costal
GHCND:US1WASN0120,1,48.16179,-122.12345,112.8,cold rainy costal
GHCND:US1WASN0123,1,47.810895,-122.021151,118.0,cold rainy costal
GHCND:US1WASN0124,1,47.91828,-122.18954,115.8,cold rainy costal
GHCND:US1WASN0130,1,47.789656,-122.02391,154.8,cold rainy costal
GHCND:US1WASN0131,1,48.0074,-122.2099,39.0,cold rainy costal
GHCND:US1WASN0132,1,47.839693,-122.349269,18.0,cold rainy costal
GHCND:US1WASP0004,2,47.591158,-117.415298,662.0,very cold rainy midlands
GHCND:US1WASP0024,2,47.9460912,-117.2509124,672.7,very cold rainy midlands
GHCND:US1WASP0036,2,48.036598,-117.324138,645.0,very cold rainy midlands
GHCND:US1WASP0043,2,47.806925,-117.65651,727.3,very cold rainy midlands
GHCND:US1WASP0057,2,47.76048,-117.43157,551.1,very cold rainy midlands
GHCND:US1WASP0063,2,47.888051,-117.353027,524.6,very cold rainy midlands
GHCND:US1WASP0064,2,47.713174,-117.466469,618.7,very cold rainy midlands
GHCND:US1WASP0065,2,47.743294,-117.344441,719.9,very cold rainy midlands
GHCND:US1WASP0071,2,47.808949,-117.395241,583.7,very cold rainy midlands
GHCND:US1WASP0073,2,47.72888,-117.13511,672.4,very cold rainy midlands
GHCND:US1WASP0076,2,47.636615,-117.41746,681.8,very cold rainy midlands
GHCND:US1WASP0078,2,47.693095,-117.414627,621.8,very cold rainy midlands
GHCND:US1WASP0081,2,47.6307916,-117.404156,702.0,very cold rainy midlands
GHCND:US1WASP0083,2,47.509752,-117.580673,744.6,very cold rainy midlands
GHCND:US1WASP0084,2,47.507778,-117.403889,745.2,very cold rainy midlands
GHCND:US1WASP0085,2,47.5985,-117.371,727.3,very cold rainy midlands
GHCND:US1WAST0001,2,47.97524,-117.60608,702.3,very cold rainy midlands
GHCND:US1WAST0011,2,48.7368541467934,-118.049790859222,432.8,very cold rainy midlands
GHCND:US1WAST0022,2,48.53603,-117.879005,560.5,very cold rainy midlands
GHCND:US1WATH0001,1,47.0235,-122.8918,51.8,cold rainy costal
GHCND:US1WATH0033,1,47.0839881896973,-122.956443786621,50.3,cold rainy costal
GHCND:US1WATH0040,1,46.978525,-123.047329,186.8,cold rainy costal
GHCND:US1WATH0062,1,47.073056,-122.939167,47.5,cold rainy costal
GHCND:US1WATH0064,1,47.03352932,-122.7615916,59.7,cold rainy costal
GHCND:US1WATH0069,1,47.0899,-122.9481,41.5,cold rainy costal
GHCND:US1WAWC0008,1,48.868893,-122.624474,109.1,cold rainy costal
GHCND:US1WAWC0019,1,48.7158,-122.499,32.0,cold rainy costal
GHCND:US1WAWC0021,1,48.757075,-122.427258,110.0,cold rainy costal
GHCND:US1WAWC0029,1,48.962273,-122.654498,25.9,cold rainy costal
GHCND:US1WAWC0044,1,48.85811,-122.6128,85.3,cold rainy costal
GHCND:US1WAWC0047,1,48.8533401489258,-122.336769104004,49.1,cold rainy costal
GHCND:US1WAWC0052,1,48.711254,-122.471451,86.3,cold rainy costal
GHCND:US1WAWC0056,1,48.85725,-122.60395,56.4,cold rainy costal
GHCND:US1WAWC0063,1,48.75097,-122.1128,213.1,cold rainy costal
GHCND:US1WAWC0070,1,48.889721,-121.947638,276.8,cold rainy costal
GHCND:US1WAWC0075,1,48.725793,-122.468403,117.0,cold rainy costal
GHCND:US1WAWC0079,1,48.9580196,-122.4266309,36.6,cold rainy costal
GHCND:US1WAWC0087,1,48.947,-122.46304,30.5,cold rainy costal
GHCND:US1WAWC0089,1,48.6586963,-122.493684,72.8,cold rainy costal
GHCND:US1WAWC0090,1,48.77173,-122.49946,21.3,cold rainy costal
GHCND:US1WAWC0091,1,48.8530503,-122.5972178,25.9,cold rainy costal
GHCND:US1WAYK0006,2,46.3293,-120.0034167,231.0,very cold rainy midlands
GHCND:US1WAYK0007,2,46.3721,-120.1657,245.7,very cold rainy midlands
GHCND:US1WAYK0010,2,46.60931,-120.57513,411.2,very cold rainy midlands
GHCND:US1WAYK0024,2,46.59894,-120.545198,369.7,very cold rainy midlands
GHCND:US1WAYK0030,2,46.610955,-120.564632,372.2,very cold rainy midlands
GHCND:USC00351407,1,45.6779,-121.874,43.3,cold rainy costal
GHCND:USC00450482,1,45.7716,-122.5286,86.6,cold rainy costal
GHCND:USC00450587,1,48.71696,-122.51429,9.8,cold rainy costal
GHCND:USC00450729,1,48.99459,-122.76205,5.2,cold rainy costal
GHCND:USC00450844,2,48.99444,-117.35407,559.9,very cold rainy midlands
GHCND:USC00450872,1,47.5688,-122.6827,36.6,cold rainy costal
GHCND:USC00451350,2,47.83426,-120.00021,363.9,very cold rainy midlands
GHCND:USC00451395,2,48.27323,-117.74101,501.1,very cold rainy midlands
GHCND:USC00451414,1,47.9522,-122.7908,42.7,cold rainy costal
GHCND:USC00451484,1,48.9672,-122.3291,19.5,cold rainy costal
GHCND:USC00451504,2,47.189,-120.913,579.1,very cold rainy midlands
GHCND:USC00451630,2,48.56784,-117.93545,473.7,very cold rainy midlands
