station,cluster,latitude,longitude,elevation,climate
GHCND:USC00450482,1,45.7716,-122.5286,86.6,cold wet costal
GHCND:USC00450872,1,47.5688,-122.6827,36.6,cold wet costal
GHCND:USC00451350,0,47.83426,-120.00021,363.9,very cold dry midlands
GHCND:USC00451395,0,48.27323,-117.74101,501.1,very cold dry midlands
GHCND:USC00451484,1,48.9672,-122.3291,19.5,cold wet costal
GHCND:USC00451504,0,47.189,-120.913,579.1,very cold dry midlands
GHCND:USC00451630,0,48.56784,-117.93545,473.7,very cold dry midlands
GHCND:USC00451679,1,48.5397,-121.7422,59.4,cold wet costal
GHCND:USC00451767,0,47.95449,-118.99968,524.0,very cold dry midlands
GHCND:USC00451992,1,48.26056,-121.60278,167.0,cold wet costal
GHCND:USC00452007,0,47.66371,-118.16133,739.1,very cold dry midlands
GHCND:USC00452157,1,48.7141,-121.143,271.6,cold wet costal
GHCND:USC00452505,0,46.9692,-120.54,451.1,very cold dry midlands
GHCND:USC00452531,1,47.0091,-123.4008,21.3,cold wet costal
GHCND:USC00452563,0,47.69831,-120.3229,313.0,very cold dry midlands
GHCND:USC00452675,1,47.97528,-122.195,14.0,cold wet costal
GHCND:USC00452914,1,47.95583,-124.35389,113.4,cold wet costal
GHCND:USC00453546,0,46.7225,-118.6524,458.7,very cold dry midlands
GHCND:USC00454486,1,47.3766,-121.9613,163.1,cold wet costal
GHCND:USC00454572,0,47.55862,-120.67493,343.8,very cold dry midlands
GHCND:USC00454679,0,47.00216,-118.5657,496.8,very cold dry midlands
GHCND:USC00454769,1,46.13722,-122.97806,3.4,cold wet costal
GHCND:USC00455086,1,47.14583,-123.40056,74.7,cold wet costal
GHCND:USC00455224,1,47.13556,-122.25611,173.7,cold wet costal
GHCND:USC00455525,1,47.845,-121.99556,38.1,cold wet costal
GHCND:USC00455659,0,45.9997,-121.5403,594.4,very cold dry midlands
GHCND:USC00455840,1,48.6758,-121.2419,160.0,cold wet costal
GHCND:USC00455946,0,48.89937,-117.82899,456.3,very cold dry midlands
GHCND:USC00456295,1,47.30889,-121.85556,268.8,cold wet costal
GHCND:USC00456534,0,47.75838,-120.65881,565.4,very cold dry midlands
GHCND:USC00456846,1,47.8091,-122.9136,37.5,cold wet costal
GHCND:USC00456914,1,46.6533,-123.73,9.1,cold wet costal
GHCND:USC00457059,0,47.1175,-118.37146,568.1,very cold dry midlands
GHCND:USC00457180,0,47.23446,-117.36364,737.6,very cold dry midlands
GHCND:USC00457185,1,48.7272,-121.0722,376.7,cold wet costal
GHCND:USC00457247,0,46.3953,-119.0713,181.4,very cold dry midlands
GHCND:USC00457507,1,48.49611,-122.235,15.8,cold wet costal
GHCND:USC00457522,0,46.6722,-120.4994,341.4,very cold dry midlands
GHCND:USC00457544,1,48.085,-123.0638,15.2,cold wet costal
GHCND:USC00457941,0,47.6812,-117.62675,728.8,very cold dry midlands
GHCND:USC00458034,1,47.86722,-121.7175,52.1,cold wet costal
GHCND:USC00458059,0,48.3509,-120.7264,383.1,very cold dry midlands
GHCND:USC00458211,0,46.345,-120.0289,245.4,very cold dry midlands
GHCND:USC00458278,1,47.2472,-122.4122,7.6,cold wet costal
GHCND:USC00458773,1,45.6776,-122.6514,67.1,cold wet costal
GHCND:USC00459074,0,47.42895,-120.31002,190.8,very cold dry midlands
GHCND:USC00459238,0,47.76799,-118.72397,659.0,very cold dry midlands
GHCND:USC00459376,0,48.47429,-120.18874,533.1,very cold dry midlands
GHCND:USR0000WESC,0,47.0378,-117.9472,503.8,very cold dry midlands
GHCND:USR0000WFTA,1,47.4536,-121.6658,478.5,cold wet costal
GHCND:USS0017A01S,2,48.69,-117.18,1524.0,freezing snowy mountainous
GHCND:USS0017C04S,2,46.18,-117.54,1737.4,freezing snowy mountainous
GHCND:USS0017C05S,2,46.12,-117.85,1685.5,freezing snowy mountainous
GHCND:USS0017C06S,0,46.24,-117.39,1219.2,very cold dry midlands
GHCND:USS0018A19S,2,48.19,-118.46,1338.1,freezing snowy mountainous
GHCND:USS0018A21S,2,48.86,-118.4,1426.5,freezing snowy mountainous
GHCND:USS0019A02S,2,48.66,-119.84,1359.4,freezing snowy mountainous
GHCND:USS0019A09S,2,48.59,-119.87,1362.5,freezing snowy mountainous
GHCND:USS0019A13S,2,48.36,-119.08,1527.0,freezing snowy mountainous
GHCND:USS0020A07S,2,48.53,-120.99,1316.7,freezing snowy mountainous
GHCND:USS0020A09S,2,48.52,-120.74,1490.5,freezing snowy mountainous
GHCND:USS0020B07S,2,47.29,-120.37,1319.8,freezing snowy mountainous
GHCND:USS0020B11S,2,47.28,-120.49,1642.9,freezing snowy mountainous
GHCND:USS0020B25S,2,47.23,-120.29,1670.3,freezing snowy mountainous
GHCND:USS0021A31S,2,48.87,-121.79,1228.3,freezing snowy mountainous
GHCND:USS0021A32S,3,48.69,-121.91,926.6,very cold snowy highland
GHCND:USS0021B01S,2,47.75,-121.09,1204.0,freezing snowy mountainous
GHCND:USS0021B13S,2,47.02,-121.46,1767.8,freezing snowy mountainous
GHCND:USS0021B17S,3,47.3,-121.6,1161.3,very cold snowy highland
GHCND:USS0021B21S,3,47.36,-121.57,890.0,very cold snowy highland
GHCND:USS0021B31S,2,47.16,-121.42,1414.3,freezing snowy mountainous
GHCND:USS0021B42S,3,47.28,-121.67,975.4,very cold snowy highland
GHCND:USS0021B50S,3,47.2,-121.78,1188.7,very cold snowy highland
GHCND:USS0021B55S,3,47.37,-121.44,1228.3,very cold snowy highland
GHCND:USS0021B60S,3,47.68,-121.61,1008.9,very cold snowy highland
GHCND:USS0021C10S,2,46.55,-121.17,1804.4,freezing snowy mountainous
GHCND:USS0021C13S,3,46.09,-121.76,1307.6,very cold snowy highland
GHCND:USS0021C14S,2,46.35,-121.51,1374.6,freezing snowy mountainous
GHCND:USS0021C20S,3,46.18,-121.93,1036.3,very cold snowy highland
GHCND:USS0021C26S,3,46.27,-121.96,1197.9,very cold snowy highland
GHCND:USS0021C28S,2,46.64,-121.38,1353.3,freezing snowy mountainous
GHCND:USS0021C39S,2,46.36,-121.08,1560.6,freezing snowy mountainous
GHCND:USS0021C43S,3,46.64,-121.83,1149.1,very cold snowy highland
GHCND:USS0022C10S,3,46.19,-122.25,1216.2,very cold snowy highland
GHCND:USS0022C12S,3,46.26,-122.18,1072.9,very cold snowy highland
GHCND:USS0023B18S,3,47.71,-123.46,1484.4,very cold snowy highland
GHCND:USW00004136,0,47.4174,-117.5264,691.0,very cold dry midlands
GHCND:USW00004205,1,48.16056,-122.15889,41.8,cold wet costal
GHCND:USW00004223,1,48.5405,-121.446,124.1,cold wet costal
GHCND:USW00024157,0,47.62168,-117.52796,717.7,very cold dry midlands
GHCND:USW00024220,0,47.03376,-120.53135,532.5,very cold dry midlands
GHCND:USW00024227,1,46.97371,-122.90493,60.9,cold wet costal
GHCND:USW00024233,1,47.44467,-122.31442,112.5,cold wet costal
GHCND:USW00024234,1,47.54554,-122.31475,7.6,cold wet costal
GHCND:USW00024237,2,47.2767,-121.3372,1206.7,freezing snowy mountainous
GHCND:USW00024243,0,46.56398,-120.53488,321.0,very cold dry midlands
GHCND:USW00094119,0,47.97416,-117.42921,672.0,very cold dry midlands
GHCND:USW00094176,0,47.68575,-117.32141,594.6,very cold dry midlands
GHCND:USW00094225,1,46.97288,-123.93074,4.5,cold wet costal
GHCND:USW00094227,1,47.23842,-123.14147,84.2,cold wet costal
GHCND:USW00094239,0,47.39746,-120.20124,377.5,very cold dry midlands
GHCND:USW00094263,1,47.48333,-122.76667,135.3,cold wet costal
GHCND:USW00094266,1,48.12194,-123.50662,83.2,cold wet costal
GHCND:USW00094274,1,47.26744,-122.57623,88.4,cold wet costal
GHCND:USW00094290,1,47.6872,-122.2553,18.3,cold wet costal
GHCND:USW00094298,1,45.62102,-122.65421,6.6,cold wet costal
